# Indian tech companies, mixed size. Used to measure what fraction of Indian
# hiring sits on a platform we can actually enumerate.
# Format: Name,domain

# --- large Indian product companies ---
Flipkart,flipkart.com
Zomato,zomato.com
Swiggy,swiggy.com
Paytm,paytm.com
PhonePe,phonepe.com
Zerodha,zerodha.com
Meesho,meesho.com
Nykaa,nykaa.com
Lenskart,lenskart.com
Dream11,dream11.com
Freshworks,freshworks.com
Zoho,zoho.com
BrowserStack,browserstack.com
Postman,postman.com
Razorpay,razorpay.com
CRED,cred.club
Groww,groww.in

# --- mid-size / growth stage ---
Zepto,zeptonow.com
Porter,porter.in
Cars24,cars24.com
Rapido,rapido.bike
Urban Company,urbancompany.com
Physics Wallah,pw.live
Unacademy,unacademy.com
Chargebee,chargebee.com
Whatfix,whatfix.com
MindTickle,mindtickle.com
Innovaccer,innovaccer.com
Hasura,hasura.io
Atlan,atlan.com
Juspay,juspay.in
Setu,setu.co
M2P Fintech,m2pfintech.com
Zenskar,zenskar.com
Sarvam AI,sarvam.ai
Krutrim,olakrutrim.com
CloudSEK,cloudsek.com
Zenduty,zenduty.com
Plivo,plivo.com
Exotel,exotel.com
Gupshup,gupshup.io
DevRev,devrev.ai
HackerRank,hackerrank.com
Fractal Analytics,fractal.ai
Quantiphi,quantiphi.com
Tredence,tredence.com
